variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,veg_type0,n
colonization_potential_wm,veg_type0TH,0.6927331701896592,0.2833501129806195,2.8689890331162493,0.004117860762904365,0.564039428351012,0.7971028284328909,TH,364
colonization_potential_wm,veg_type0X,0.5655395779348356,0.3617571053356772,0.728874221474699,0.46607860484576036,0.39046561064549157,0.7256585972184997,X,42
colonization_potential_uwm,veg_type0A,0.6714799303797296,0.31930468543864804,2.238884142891247,0.02516345550380783,0.5222504231874375,0.7926069855581386,A,73
colonization_potential_uwm,veg_type0M,0.5462334306481186,0.25737231913602754,0.7206039572257863,0.4711532184340017,0.42092508966111297,0.6659455680137398,M,79
colonization_potential_uwm,veg_type0R,0.6059458290831634,0.20950156880823503,2.0539330759473255,0.03998216948978319,0.5049215090679418,0.6986584655902736,R,154
colonization_potential_uwm,veg_type0TD_mesic,0.6156784151325413,0.20923397366140736,2.2522399345956354,0.02430711364600977,0.5152837517005713,0.7070990305390361,TD_mesic,85
colonization_potential_uwm,veg_type0TD_wet,0.6587062604494797,0.183640224069811,3.580556440668404,3.4286326955042256e-4,0.5738571702277875,0.7344780135157594,TD_wet,219
colonization_potential_uwm,veg_type0TE,0.7461410916206576,0.28163520497850353,3.8281296523292347,1.2912073797840715e-4,0.6285826641893032,0.8361875751603763,TE,72
colonization_potential_uwm,veg_type0TFG,0.6326473494131492,0.2784807831071095,1.9519870040487246,0.05093974757948396,0.49944464128486715,0.7482693188670974,TFG,63
colonization_potential_uwm,veg_type0TH,0.6898122323524902,0.18078152202688905,4.4210360017287185,9.822880435970317e-6,0.6094298718408808,0.7601618206993493,TH,363
colonization_potential_uwm,veg_type0X,0.6075374533209528,0.2883010539221506,1.5156819884319914,0.12959978419280316,0.4680219661457284,0.7314579844471175,X,42
expansive_wm,veg_type0A,0.6281190164256835,0.3193312578878495,1.6414171356922582,0.10071085522696575,0.4745914140498535,0.7595170473617388,A,73
expansive_wm,veg_type0M,0.47941960508429715,0.272112530187007,-0.3026987289166985,0.7621194665523672,0.3507603058851746,0.610868086294009,M,78
expansive_wm,veg_type0R,0.6706329573060187,0.2184880210232965,3.2544082521868885,0.0011362885682689758,0.5702375872848007,0.7575470305585763,R,148
expansive_wm,veg_type0TD_mesic,0.6620817465899249,0.2224478295494286,3.023562969956923,0.0024981703292181355,0.558874441171616,0.7518633061567276,TD_mesic,81
expansive_wm,veg_type0TD_wet,0.6177902474626732,0.18955143459362678,2.53324089660641,0.011301325624132556,0.5271396646870521,0.7009222576043853,TD_wet,219
expansive_wm,veg_type0TE,0.5538235048711555,0.27088100170537793,0.7978833828679746,0.4249381673136951,0.42194707043944374,0.6785352329941483,TE,74
expansive_wm,veg_type0TFG,0.7877082874291481,0.32815746944832386,3.995540611539866,6.454679063469555e-5,0.6610528677090787,0.8759194646035395,TFG,43
expansive_wm,veg_type0TH,0.6513318743921264,0.19498319409498838,3.2048852549090334,0.0013511633386551105,0.5603884543828492,0.7324441576558508,TH,295
expansive_wm,veg_type0X,0.5357868987864755,0.3077444014058741,0.46594767547133037,0.6412529543512644,0.38703916476490474,0.6784288384671631,X,42
expansive_uwm,veg_type0A,0.6672852869074859,0.35302045551044514,1.9713652700925568,0.04868211054188845,0.5010062203964141,0.8002471306826903,A,72
expansive_uwm,veg_type0M,0.4183600608078466,0.29557355997716517,-1.114812650668208,0.2649307141725244,0.28724081451404493,0.5621283536363343,M,78
expansive_uwm,veg_type0R,0.588534938700761,0.24874329673646398,1.4388817222789227,0.150184036933463,0.46764136010274726,0.6996097225261259,R,145
expansive_uwm,veg_type0TD_mesic,0.5034282268595962,0.24392621168310616,0.05621832207150434,0.9551678853422381,0.3859488300171277,0.620530306787567,TD_mesic,81
expansive_uwm,veg_type0TD_wet,0.667882412377604,0.22134971449188237,3.156195816539888,0.0015984151206049565,0.5658123259920317,0.7562926918437244,TD_wet,219
expansive_uwm,veg_type0TE,0.7041365431661131,0.3001243984011228,2.88904948053805,0.003864082658318221,0.5692621120803439,0.8108138812461425,TE,74
expansive_uwm,veg_type0TFG,0.7621607273330571,0.36241056708893943,3.213378545910748,0.0013118326673369318,0.6116493950847323,0.8670212332755097,TFG,42
expansive_uwm,veg_type0TH,0.6736860989766338,0.23223975890336854,3.1213624775758726,0.0018001630532230805,0.5670248775314466,0.7649632722784261,TH,295
