PlotObservationID,TV2_releve_number,RS_CODE,Releve_area_m2,Longitude,Latitude,year,veg_type0,RS_CODE_PLOT,n_surveys
622613,424639,CZ_0003,2,17.118389,50.161667,1993,R,CZ_0003_2,2
18070,487665,CZ_0003,4,17.118389,50.161667,2008,R,CZ_0003_2,2
622610,424636,CZ_0003,4,17.107167,50.158722,1994,R,CZ_0003_20,2
18084,487679,CZ_0003,4,17.107167,50.158722,2008,R,CZ_0003_20,2
622603,424629,CZ_0003,3,17.229139,50.074778,1991,R,CZ_0003_21,2
18064,487659,CZ_0003,4,17.229139,50.074778,2008,R,CZ_0003_21,2
622622,424648,CZ_0003,25,17.228917,50.074583,1991,R,CZ_0003_22,2
18065,487660,CZ_0003,4,17.228917,50.074583,2008,R,CZ_0003_22,2
622619,424645,CZ_0003,25,17.207167,50.102833,1991,R,CZ_0003_23,2
18066,487661,CZ_0003,4,17.207167,50.102833,2008,R,CZ_0003_23,2
622635,424661,CZ_0003,50,17.206806,50.102806,1991,R,CZ_0003_24,2
18067,487662,CZ_0003,30,17.206806,50.102806,2008,R,CZ_0003_24,2
622628,424654,CZ_0003,25,17.206556,50.102556,1991,R,CZ_0003_25,2
18068,487663,CZ_0003,4,17.206556,50.102556,2008,R,CZ_0003_25,2
622612,424638,CZ_0003,4,17.206667,50.102306,1991,R,CZ_0003_26,2
18069,487664,CZ_0003,4,17.206667,50.102306,2008,R,CZ_0003_26,2
622627,424653,CZ_0003,25,17.118167,50.161639,1993,R,CZ_0003_3,2
18071,487666,CZ_0003,4,17.118167,50.161639,2008,R,CZ_0003_3,2
622607,424633,CZ_0003,2,17.118028,50.161528,1993,R,CZ_0003_4,2
18085,487680,CZ_0003,4,17.118028,50.161528,2008,R,CZ_0003_4,2
622608,424634,CZ_0003,3,17.117972,50.161583,1993,R,CZ_0003_5,2
18086,487681,CZ_0003,4,17.117972,50.161583,2008,R,CZ_0003_5,2
622629,424655,CZ_0003,6,17.117806,50.1615,1993,R,CZ_0003_6,2
18072,487667,CZ_0003,4,17.117806,50.1615,2008,R,CZ_0003_6,2
