species_name,EIV_light,EIV_temp,EIV_moist,EIV_react,EIV_nutr,dist_freq,dist_sev,GF_annual,GF_monocarpic,GF_polycarpic,GF_clonal,GF_dwarf,GF_shrub,GF_tree,LS_Pierce_C,LS_Pierce_S,LS_Pierce_R,LLS_overwintering_green,LLS_spring_green,LLS_summer_green,LLS_evergreen,LA_succulent,LA_scleromorphic,LA_mesomorphic,LA_hygromorphic,LA_helomorphic,LA_hydromorphic,SLA,GR_allogamy,GR_autogamy,GR_mixed_mating,GR_apomixis,wind_pollination,insect_pollination,selfing,DS_Allium,DS_Bidens,DS_Cornus,DS_Epilobium,DS_Lycopodium,DS_Phragmites,DS_Sparganium,DS_Zea,myrmecochorous,Par_autotrophic,Par_parasite,Par_mycoheterotroph,symbiosis_N_fixers,no_nitrogen_fixing,eco_spec_all,colonization_success,colonization_potential,expansive,grass,graminoid,non_myrmecochorous,LC,NT,VU,EN,CR,native,archaeophyte,neophyte,log_leaf_size,log_height_mean
Acacia farnesiana,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,0,0,1,0,0,NA,NA
Acaena microphylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,0,0,0,0,1,NA,NA
Acanthus hungaricus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA
Acer campestre,NA,6,5,7,6,NA,NA,0,0,0,0,0,0.5,0.5,41.46,47.01,11.52,0,0,1,0,0,0,1,0,0,0,14.53666667,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.86,8,8,1,0,0,0,1,0,0,0,0,1,0,0,3.675915754895261,0.8750612633917001
Acer ginnala,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,0.6532125137753437
Acer japonicum,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA
Acer monspessulanum,6,8,3,8,4,NA,NA,0,0,0,0,0,0.5,0.5,23.49,68.83,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.36666667,1,0,0,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA
Acer negundo,6,6,6,7,7,NA,NA,0,0,0,0,0,0,1,50.38,23.31,26.31,0,0,1,0,0,0,1,0,0,0,25.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.57,5,9,0,0,0,0,1,0,0,0,0,0,0,1,NA,1.1760912590556813
Acer palmatum,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,0.9030899869919435
Acer platanoides,4,6,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,46.35,32.21,21.44,0,0,1,0,0,0,0.5,0.5,0,0,19.65537759,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.16,7,7,1,0,0,0,1,0,0,0,0,1,0,0,3.71548243479837,1.3979400086720377
Acer pseudoplatanus,4,5,6,NA,7,NA,NA,0,0,0,0,0,0,1,56.55,27.88,15.57,0,0,1,0,0,0,1,0,0,0,16.67988251,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.16,8,6,1,0,0,0,1,0,0,0,0,1,0,0,3.9224750308619933,1.4771212547196624
Acer saccharinum,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,1.4393326938302626
Acer tataricum,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0.5,25.1,54.8,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,0.6989700043360189
Achillea ×incognita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,0,0,1,0,0,NA,NA
Achillea asplenifolia,8,7,6,7,6,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7.31,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,NA,-0.2218487496163564
Achillea chrysocoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA
Achillea collina,7,6,4,5,4,NA,NA,0,0,0,1,0,0,0,41.02,15.79,43.19,0,0,1,0,0,0.5,0.5,0,0,0,17.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,3.015983919393047,-0.37161106994968846
Achillea collina × A. pratensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,0,0,1,0,0,NA,NA
Achillea crithmifolia,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0,0,0,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,-0.3979400086720376
